Rank,CellID,ParamAspectRatio,R2,SigmaEnvEff,CarrierScale_HalfLambda,SigmaC,SigmaS,Ac,As,Freq_cyclesPerPixel,OffsetMag,DSI,OSI,F1F0,DataOriDeg,FftDeg,EnvDeg,OffsetDeg
46,1613,2.38604781213854,0.550730242089224,2.7727965674925,6.61602518337075,2.7727965674925,2.85302184348071,3.46808212108569,3.22686064070142,0.0755740775075554,1.85147624315338,1,1,1.46918665675199,120,42.8221579515784,42.8221579515784,144.760300685776
47,81,2.39303518431573,0.833910464554918,3.61322991228705,8.64658630912496,3.61322991228705,4.2969955679866,7.12256156534104,4.90418726414221,0.0578262891416856,1.44619417772323,0.212110562583409,0.382159216825867,0.233528913428427,90,53.3428147785541,53.3428147785541,163.576778140707
48,798,2.42703415128721,0.766219255622129,3.21382630357191,7.80006619507417,3.21382630357191,3.94078049163567,5.77218134934925,6.33274670613273,0.0641020200976955,1.04749345980456,0.23223880135809,0.941312385597019,0.416010910676489,0,133.922601301062,133.922601301062,54.5306737936503
49,1566,2.48261562240473,0.841417457494218,2.9586245760167,7.34512759324961,2.9586245760167,3.50406585146652,5.4570159282362,7.25722041386443,0.0680723368862257,0.614331875584773,0.402754590984975,0.97309909415317,1.11006501160073,60,55.969678234201,55.969678234201,NaN
50,1240,2.49623783018746,0.864876025008284,4.39318122363258,10.9664251653009,4.39318122363258,4.39318122363261,5.75607328555778,4.43100702127297,0.0455937092045328,2.59780457044397,0.244681600726606,1,0.16951990166067,90,103.896174070169,103.896174070169,68.6680139056736
51,659,2.52011307177431,0.809657626753401,3.06699582493689,7.72917626950068,3.06699582493689,3.70540767633142,5.97534854404546,5.98216401203162,0.0646899465824061,1.13791990517569,0.151699029126213,1,0.95671981249897,90,106.683423830583,106.683423830583,74.8752284186988
52,127,2.57910506431544,0.599546804153214,2.3626959214861,6.09364101654225,2.3626959214861,2.36269592148612,5.77841327578714,4.5943676122132,0.0820527495207977,1.02044218374642,0.266742338251986,0.991564205767216,0.879069601011708,0,86.8198395822771,86.8198395822771,10.2601331100397
53,622,2.59495524285827,0.752947579712111,3.47644776885848,9.02122636432225,3.47644776885848,3.47644776886784,8.95144343051238,8.53293391710304,0.055424836913242,2.01134747187322,1,0.935847921744911,1.07939163752243,60,95.5411682592478,95.5411682592478,49.4984068058314
54,599,2.59954981644214,0.935130613649968,3.17936889301333,8.26492782223466,3.17936889301333,3.39913255256739,11.4214984921653,14.4293668573881,0.0604965960688584,1.09251429709157,0.160920751821753,0.0977850205983782,0.449367759114249,30,68.2996606174825,68.2996606174825,131.072736240541
55,743,2.60277725332292,0.871703846405002,2.95767720840532,7.698174960709,2.95767720840532,2.96398780000902,8.12071582684315,6.0432863312355,0.0649504593688723,1.00686788885652,0.000538874187965461,0.408962485183084,0.401953748633624,0,104.829923836343,104.829923836343,46.6216544623792
56,140,2.60925649967802,0.733457886993604,2.75854078696285,7.19774047800972,2.75854078696285,3.26833205390662,3.03183426706841,3.69249431087449,0.0694662445148699,2.35250334921592,1,1,1.53375722104621,60,76.9098428404765,76.9098428404765,72.0003870331512
57,744,2.61547950848189,0.74336338799533,3.17832718292253,8.31284961818484,3.17832718292253,4.22339642585219,3.0449473816823,4.01988774565016,0.0601478461617086,0.399541203158069,0.167472344431771,0.702664539882098,0.398193509875583,90,88.6851577769195,88.6851577769195,NaN
58,1438,2.62942004368289,0.812345869414602,2.53815576167633,6.67387763374096,2.53815576167633,3.11919461469132,5.82492764770822,6.24668843074533,0.0749189642723088,1.0096815928205,0.30899194920059,0.356217801553215,0.124574787903864,120,127.778678705661,127.778678705661,66.5168043291666
59,1841,2.62974485431762,0.779154957665908,3.70530141719907,9.74399733557503,3.70530141719907,4.24579913676342,5.89298252251571,3.86092871024537,0.0513136429311732,3.25386526012497,0.00216734101934382,1,1.22225595016539,90,99.2537773620982,99.2537773620982,111.53940730371
60,657,2.66373470264473,0.883538812289605,2.71881455118549,7.24220067004827,2.71881455118549,3.27415218297831,5.78766114222303,7.85356091417231,0.069039788150011,1.18190947412292,0.335892514395394,0.494887941139659,1.23479165951286,60,71.9269441280183,71.9269441280183,98.9080826594222
61,1859,2.73647597744343,0.782901022662051,4.72042480000904,12.917329068553,4.72042480000904,5.605920429109,4.65681023184708,3.25727046386651,0.0387076923833459,2.70525980543767,0.88251458527099,0.969731773540344,1.27812009561608,0,168.153596998035,168.153596998035,161.451091879279
62,135,2.73905722354651,0.849525666657326,1.77060246729718,4.84978147807962,1.77060246729718,2.17717251456325,8.00717709080361,10.506421901415,0.103097428669711,0.439179017303591,0.543664455000496,0.99535155346016,1.39139804879178,90,90.8411583104103,90.8411583104103,NaN
63,870,2.74588846593632,0.779544778442174,3.09190804863589,8.49003464848495,3.09190804863589,3.73549110745091,6.81432262360247,6.69041487821047,0.0588925747304489,1.42275860809181,0.17841139177482,0.842723658227372,1.21836253204037,90,107.435634346188,107.435634346188,78.9724701654902
64,1440,2.78600997325076,0.634661429530732,3.39733838530998,9.46501862398124,3.39733838530998,5.12420702550901,4.230341629834,2.6004008780273,0.0528260978518484,0.573636797989998,0.68607588097843,1,0.287495555533532,0,102.109835080918,102.109835080918,NaN
65,621,2.79541494898997,0.865356072735894,5.13389633946964,14.3513705739183,5.13389633946964,6.84660099449504,7.0059372373266,4.58906412950818,0.0348398780050097,1.99851155243142,NaN,NaN,0.793475482882281,0,79.365501904994,79.365501904994,59.5967068482506
66,1810,2.84034852544161,0.681919284279442,2.59482015223561,7.37019359318859,2.59482015223561,3.40715524889391,4.74813912530652,4.77557697651618,0.0678408231314428,0.980356301438434,NaN,NaN,0.329302944250894,0,102.057937161882,102.057937161882,NaN
67,1616,2.88369818527859,0.741309529525259,2.23358768465836,6.4409927529099,2.23358768465836,2.52890389106055,5.53747237555161,5.53286359649449,0.0776277849053798,1.26882409476689,0.92485549132948,0.983440662373505,1.60120117870586,120,122.127951898821,122.127951898821,142.086371391066
68,1517,2.89325967876593,0.946957845483531,4.68124210852077,13.5440490391244,4.68124210852077,5.97489872769029,11.5854763701328,6.75446616233944,0.0369165822240943,1.20008680198148,1,1,0.858692995849257,120,89.3170031900648,89.3170031900648,88.0267518596708
69,1833,2.90796562031174,0.827748060256462,3.6660873605978,10.6608560056778,3.6660873605978,4.30364543742837,6.03173003476584,6.08359600413297,0.0469005490491297,2.23619584756943,0.066808721678528,0.561513550092065,0.380867880313611,90,88.5167016581658,88.5167016581658,71.9272896635653
70,1840,2.920631115235,0.771315492892458,2.33840637694905,6.82962242458136,2.33840637694905,2.76737731961466,8.09302111996118,5.73799757012993,0.0732104893823101,1.82441949241559,1,1,1.54814313135624,90,88.7809811211612,88.7809811211612,106.894014472586
71,1347,2.97572174659685,0.74454342253444,2.08150215988888,6.19397124276966,2.08150215988888,2.91604484135775,3.10421884818674,4.40684528487568,0.0807236553743545,1.06325814607725,0.725095279677288,0.867110322241284,1.10489492110861,120,110.563342643358,110.563342643358,106.17095684836
72,637,3.01771204093058,0.72561421745891,2.71730787170138,8.20005268334871,2.71730787170138,3.55962868040184,5.07197398259825,4.72399124096593,0.0609752180026009,1.01285024031006,0.293255131964809,0.297183992894678,0.337431200540401,90,73.6868430033891,73.6868430033891,100.86659979014
73,1255,3.03243607907874,0.7346692011138,2.61292694268044,7.92353393298108,2.61292694268044,2.69409267468863,6.81157292248216,7.52559197114199,0.0631031562720757,1.35356998397417,0.05669005458577,0.287473215133576,0.0229645761404506,90,125.123702928601,125.123702928601,73.5826635725291
74,68,3.03626730835337,0.854940651008051,2.89196874219992,8.78079014872143,2.89196874219992,3.54230481171536,3.66279712507548,5.22878021769128,0.0569424837094877,1.65650421351165,0.936896241453177,0.891982444316664,1.08193026436048,150,126.661671760367,126.661671760367,117.595668000093
