Rank,CellID,EnvelopeAspectRatio,R2,SigmaC,OffsetMag,LongAxis,ShortAxis,DSI,OSI,F1F0,DataOriDeg,FftDeg,EnvDeg,OffsetDeg
95,1826,1.22621313978195,0.962351990426853,3.53080692253042,1.59742983981887,8.65904368487971,7.06161384506084,1,1,0.583140592291701,120,105.169442472231,105.169442472231,92.9228225573903
96,1847,1.22744270713881,0.760581030515488,2.72169295144025,1.23805842575238,6.68144432863288,5.4433859028805,0.734353280253017,1,1.38837091466217,90,94.4506335871703,94.4506335871703,78.9145731705
97,1822,1.22747130081111,0.823052193109301,2.73976454923347,1.2464356118606,6.72596471032754,5.47952909846694,0.38658499266316,0.599875368268239,0.350820706868752,90,146.237851756579,146.237851756579,61.7621933413291
98,1430,1.22860755620754,0.762780243742209,4.34653732932503,1.98730255364368,10.6803772122937,8.69307465865007,0.0452403357118638,0.725200991499564,0.194210280322793,90,77.9546025131143,77.9546025131143,103.769815698703
99,1805,1.2297126225636,0.810721434327879,3.36335968020949,1.5452123455312,8.27193170595018,6.72671936041898,0.262378071366835,0.374977842347365,0.996160600224733,120,93.6660625630354,93.6660625630354,101.623938307199
100,870,1.23007776843809,0.779544778442174,3.09190804863589,1.42275860809181,7.60657470536359,6.18381609727178,0.17841139177482,0.842723658227372,1.21836253204037,90,107.435634346188,107.435634346188,78.9724701654902
101,1083,1.23056627785187,0.823269118378415,2.57278845402756,1.18639651509079,6.33197342314592,5.14557690805512,0.751529900153885,0.916583332208425,1.6382338262546,90,92.1019283742367,92.1019283742367,93.2746734459358
102,1820,1.23110551971783,0.68451413844407,4.24411009516723,1.96167453856659,10.449894728901,8.48822019033445,0.0506683844618415,0.352436933168712,0.587080503313753,60,78.6225157169107,78.6225157169107,59.7606084659632
103,1328,1.23176634594991,0.701102698535918,4.2583375715754,1.97387867757047,10.4905538207213,8.51667514315079,0.201938547997449,0.197564746236375,0.162828083520536,90,59.4521890993708,59.4521890993708,14.1798895702368
104,772,1.23372382695323,0.821284664384926,4.11840132451017,1.92513703698757,10.1619396860079,8.23680264902034,NaN,NaN,0.413801679981504,0,74.7354729963555,74.7354729963555,165.055369698564
105,1621,1.23476289223037,0.926857773620622,3.08536564380203,1.44865872425434,7.61939001185839,6.17073128760405,0.309050731795139,0.726266758945951,1.19878165238774,90,145.007727530458,145.007727530458,58.3206178337419
106,779,1.2354069565776,0.825980918693416,2.84150873003373,1.33782184445182,7.02083930451927,5.68301746006745,0.260021900042419,0.727505187148544,1.07359642084687,60,57.5963086285637,57.5963086285637,86.8337542998533
107,664,1.23568681403852,0.846014018774488,2.53978121176572,1.19718588431191,6.27674830784335,5.07956242353144,0.594781273983116,1,1.00889372441145,90,94.6638514864192,94.6638514864192,75.4816253292072
108,470,1.23592221764352,0.770384253723098,4.29909897364825,2.02850592746414,10.6267038747606,8.59819794729649,0.854039253819187,0.993351923011528,0.515330819082668,90,87.2107202270937,87.2107202270937,85.4338307594232
109,1353,1.23737484548548,0.70871927393811,2.2720211812866,1.0786413536953,5.6226837162685,4.54404236257321,0.44321100157402,1,1.29419174486341,90,67.3339596985223,67.3339596985223,138.155820575627
110,1580,1.23833041683129,0.868016732483193,2.67225906383308,1.27376123312906,6.61827936079523,5.34451812766617,0.311167013015422,0.785923025923471,1.33957971424864,150,135.945648975295,135.945648975295,121.392645047772
111,93,1.24540402599905,0.77877983383133,3.3288546642997,1.63382867316972,8.29153800176912,6.65770932859939,0.0735792380123998,0.373547017019511,0.135471826597621,90,89.2647766656045,89.2647766656045,29.9827803812282
112,792,1.24922095041355,0.638809176378072,3.21883576363029,1.60440261647416,8.04207414373474,6.43767152726058,NaN,NaN,0.199990108255977,0,76.7314469654642,76.7314469654642,88.0442747155701
113,1813,1.25200660515403,0.67989643081914,3.03847082618144,1.53142943553111,7.60837108789398,6.07694165236287,NaN,NaN,0.382153297624973,0,95.9881275839344,95.9881275839344,90.7071373633618
114,1842,1.25292782033087,0.817709712318384,2.45497600319537,1.24186345890561,6.15181546529636,4.90995200639075,0.659697554044453,0.675480414092354,1.57724446485033,90,83.4107054313724,83.4107054313724,143.33315979967
115,797,1.25458542879441,0.881144612050949,2.54031529465075,1.29345451712332,6.37408510642481,5.0806305893015,1,1,0.966724847196359,150,71.3630196901608,71.3630196901608,98.6687232548516
116,1347,1.25540644794095,0.74454342253444,2.08150215988888,1.06325814607725,5.22626246585501,4.16300431977777,0.725095279677288,0.867110322241284,1.10489492110861,120,110.563342643358,110.563342643358,106.17095684836
117,654,1.25660636825853,0.785777438273344,3.47479642816827,1.78330978373993,8.73290264007648,6.94959285633655,0.320208038192086,0.908408009633157,0.597435863906742,90,90.6368836646533,90.6368836646533,90.345976317519
118,1255,1.25901412738804,0.7346692011138,2.61292694268044,1.35356998397417,6.57942386933506,5.22585388536089,0.05669005458577,0.287473215133576,0.0229645761404506,90,125.123702928601,125.123702928601,73.5826635725291
119,1860,1.26152624037805,0.711871709602729,4.18049988236161,2.18662083426979,10.547620598993,8.36099976472323,0.338732267351887,1,0.612329362265432,150,116.337004501547,116.337004501547,177.702470003956
120,1510,1.26274449211711,0.747199186221263,1.58609312300089,0.83347446410662,4.0056607101084,3.17218624600178,1,1,0.160186233820611,0,134.055810977224,134.055810977224,NaN
121,1850,1.26278507280858,0.78696007887055,3.53834834067382,1.85965025265216,8.9363469339998,7.07669668134764,0.279557257116864,1,1.35441374380695,150,138.637826752469,138.637826752469,127.945033967899
122,915,1.26372983814462,0.574125247237508,3.28886267875449,1.73474244389559,8.31246780140457,6.57772535750898,0.0561438664985229,0.848876389561151,0.507734461034703,0,22.1379433765279,22.1379433765279,156.28736729499
123,1641,1.26394382651514,0.68944227913127,2.36855087107485,1.25032876041452,5.98743050256422,4.7371017421497,0.250636600951298,0.924714921195144,0.85579340611819,150,141.275697681943,141.275697681943,103.617531818562
124,322,1.26554156168076,0.749359515982186,3.46869993871213,1.84216799745518,8.77956787487945,6.93739987742427,1,1,0.0554353683325361,0,90.9323007345844,90.9323007345844,0.751349003789376
