cellID,R2_DoG,R2_Gabor,deltaR2_DoG_minus_Gabor,winner
1646,0.818634907276538,0.801750114319044,0.0168847929574943,Elliptical nonconcentric DoG
1672,0.722601856410107,0.765657977798864,-0.0430561213887569,Elliptical Gabor
1762,0.605638456558816,0.510167342150103,0.0954711144087135,Elliptical nonconcentric DoG
1792,0.827063463895449,0.798000706792476,0.029062757102973,Elliptical nonconcentric DoG
1797,0.720476048900385,0.697867513724368,0.0226085351760168,Elliptical nonconcentric DoG
1805,0.828335292239342,0.752063223122941,0.0762720691164008,Elliptical nonconcentric DoG
1808,0.924079083187368,0.875734296518639,0.0483447866687292,Elliptical nonconcentric DoG
1810,0.671889103351205,0.592587491113597,0.079301612237608,Elliptical nonconcentric DoG
1813,0.568654863383257,0.567487574556936,0.00116728882632045,Elliptical nonconcentric DoG
1815,0.888504067898695,0.910467413473732,-0.0219633455750373,Elliptical Gabor
1816,0.867722053302974,0.84855323090809,0.019168822394884,Elliptical nonconcentric DoG
1818,0.727613159890426,0.725093904535277,0.00251925535514963,Elliptical nonconcentric DoG
1820,0.407349133287226,0.0776547939886643,0.329694339298562,Elliptical nonconcentric DoG
1821,0.625732238775738,0.606639422976541,0.0190928157991963,Elliptical nonconcentric DoG
1822,0.788667368140949,0.768570717298611,0.020096650842338,Elliptical nonconcentric DoG
1826,0.959576948634937,0.930059544588937,0.0295174040460001,Elliptical nonconcentric DoG
1827,0.90087039971359,0.859376417930874,0.0414939817827151,Elliptical nonconcentric DoG
1828,0.772458598243126,0.703899247500261,0.0685593507428651,Elliptical nonconcentric DoG
1831,0.646553775283688,0.564873009411646,0.0816807658720425,Elliptical nonconcentric DoG
1832,0.760003383207759,0.69044574888084,0.0695576343269195,Elliptical nonconcentric DoG
1833,0.811483436249943,0.809385875844844,0.00209756040509901,Elliptical nonconcentric DoG
1834,0.765557305019962,0.714858207336965,0.0506990976829973,Elliptical nonconcentric DoG
1836,0.843436290444855,0.842735068655469,0.000701221789386697,Elliptical nonconcentric DoG
1839,0.744078133320856,0.708987026920793,0.0350911064000634,Elliptical nonconcentric DoG
1840,0.650616502993272,0.655208638739446,-0.00459213574617412,Elliptical Gabor
1841,0.626268948988844,0.711860632247171,-0.0855916832583274,Elliptical Gabor
1842,0.822201121497915,0.523709223960177,0.298491897537737,Elliptical nonconcentric DoG
1845,0.74903750234634,0.765698501171477,-0.0166609988251367,Elliptical Gabor
1847,0.735770419805113,0.714287203316437,0.0214832164886761,Elliptical nonconcentric DoG
1850,0.795276979311898,0.766267026092782,0.0290099532191159,Elliptical nonconcentric DoG
1851,0.718039563789495,0.45403579357774,0.264003770211755,Elliptical nonconcentric DoG
1852,0.602982520463831,0.5773484427065,0.0256340777573318,Elliptical nonconcentric DoG
1855,0.886226988079712,0.865681433205296,0.0205455548744162,Elliptical nonconcentric DoG
1856,0.848018070225146,0.814897561498347,0.0331205087267986,Elliptical nonconcentric DoG
