Rank,CellID,AspectRatio_sigmaS_vs_lambda,R2,SigmaC,DeltaSigma,SigmaS,Freq_cyclesPerPixel,Lambda_pixelsPerCycle,DSI,OSI,F1F0,DataOriDeg,FftDeg,EnvDeg,OffsetDeg
58,1618,2.18440105729902,0.560375881472939,3.11813370041275,1.66375232043424,28.691316125082,0.0761345714423123,13.1346375379246,0.900946655660263,0.473117045786903,1.05090011354247,30,66.2258320217522,66.2258320217522,NaN
59,1328,2.18727622873456,0.701102698535918,4.2583375715754,0.339859549259782,27.5891827250111,0.0792802110354531,12.6134881194099,0.201938547997449,0.197564746236375,0.162828083520536,90,59.4521890993708,59.4521890993708,14.1798895702368
60,329,2.22202781194396,0.835935992361701,5.83600733829496,0.282346044489807,36.7101202967086,0.0605290256197604,16.5209994669655,1,1,0.25818803880531,90,117.548305731322,117.548305731322,62.1381405733814
61,1831,2.23161444563721,0.665642930208111,4.36251393917514,0.765762451786339,30.7696583457689,0.0725264616382742,13.7880709662564,NaN,NaN,0.498911494867685,0,66.5431132593658,66.5431132593658,110.214971163547
62,1845,2.34047110787495,0.781103095593211,2.81720198963777,0.166921580828979,17.9047414228005,0.130717950771102,7.65005872644898,0.858153099674805,1,1.25299316796768,90,89.7033349577751,89.7033349577751,79.3125554133472
63,1839,2.35694300999234,0.767914594833989,3.46195924962823,0.514740703514523,23.8601997188565,0.0987813613366224,10.1233672675582,0.672763549351378,1,0.849588805796004,30,67.3207967066086,67.3207967066086,85.7012957687992
64,1672,2.40438489570178,0.75998104816538,3.34702734098982,0.171644667707937,21.1120320521865,0.113886947962111,8.78063744699431,0.059758048578886,0.807939461543825,1.50051289547594,90,92.3646822533477,92.3646822533477,70.4850931443927
65,1865,2.68122297618898,0.684856301073275,3.95459046211422,0.285563779357891,25.4409254488327,0.105390151061191,9.48855267717933,0.407412530582957,0.668678169290869,1.61317562108789,60,103.713147103061,103.713147103061,150.649257400812
66,1593,2.68287767566823,0.83091207540999,4.02665033154626,0.489607959490552,27.0975497462209,0.0990081280704133,10.1001808587757,0.334068053450889,0.351069135266311,1.44724993267378,60,92.3181414349801,92.3181414349801,95.0525246958622
67,792,2.80428694027728,0.638809176378072,3.21883576363029,0.860545847413272,24.4762896662614,0.114571570222213,8.72816876002041,NaN,NaN,0.199990108255977,0,76.7314469654642,76.7314469654642,88.0442747155701
68,632,2.8925352456894,0.797075994231425,3.51397997509623,0.840946094430185,26.1295564171585,0.110699745510795,9.03344443463499,0.328894768210958,0.984622930009809,0.349134017408429,150,88.5821697519711,88.5821697519711,102.886057012612
69,470,3.29744141713576,0.770384253723098,4.29909897364825,0.426423424604423,28.353134389516,0.11629900849181,8.59852558476815,0.854039253819187,0.993351923011528,0.515330819082668,90,87.2107202270937,87.2107202270937,85.4338307594232
70,1455,3.33199171961973,0.617799592781537,5.48053131826672,1.29098007226069,40.6290683431644,0.0820100449135776,12.1936282446108,0.325299607154105,0.889991720981861,1.07719058934452,120,115.701827423537,115.701827423537,112.368994812258
71,1623,3.59383299207234,0.63085124215421,3.93121051929659,0.741687750541458,28.0373896190283,0.128180013935152,7.80152825155653,0.187618031037031,1,1.23781875543912,120,124.072745540933,124.072745540933,121.162640591696
